base,dice,iou,teacher_path,student_path,teacher_area_px,student_area_px
DSC_0386_segment_1_segmented_smoothed,0.7779960165948895,0.6366558760528799,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0386_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p21982330790652796_e63__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0386_segment_1_segmented_smoothed_mask.png,531898,484318
DSC_0389_segment_1_segmented_smoothed,0.7847576017313224,0.6457621976071152,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0389_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p20384839800431379_e72__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0389_segment_1_segmented_smoothed_mask.png,670646,783036
DSC_0394_segment_1_segmented_smoothed,0.7532195887657325,0.6041317155601381,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0394_segment_1_segmented_smoothed__fused_INNER_mu0p18527614293129382_b0p05166514325799438_e69__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0394_segment_1_segmented_smoothed_mask.png,237321,289532
DSC_0397_segment_1_segmented_smoothed,0.8038224631737722,0.6719926084772696,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0397_segment_1_segmented_smoothed__fused_INNER_mu0p09435199257565152_b0p25_e58__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0397_segment_1_segmented_smoothed_mask.png,473007,502385
DSC_0398_segment_1_segmented_smoothed,0.6581555103202517,0.49048568249315583,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0398_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p1637995866810561_e55__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0398_segment_1_segmented_smoothed_mask.png,150590,221784
DSC_0400_segment_1_segmented_smoothed,0.6844430604543219,0.5202686709179546,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0400_segment_1_segmented_smoothed__fused_INNER_mu0p2254186039768956_b0p21332770776248575_e77__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0400_segment_1_segmented_smoothed_mask.png,359490,289198
DSC_0401_segment_1_segmented_smoothed,0.610658534885106,0.43953092182029313,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0401_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p01_e79__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0401_segment_1_segmented_smoothed_mask.png,364316,252523
DSC_0402_segment_1_segmented_smoothed,0.6216169203593439,0.45097544328634626,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0402_segment_1_segmented_smoothed__fused_INNER_mu0p3258080430315792_b0p08978762683073178_e78__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0402_segment_1_segmented_smoothed_mask.png,243097,165074
DSC_0404_segment_1_segmented_smoothed,0.6869603555724864,0.5231832553479385,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0404_segment_1_segmented_smoothed__fused_INNER_mu0p13798343870157656_b0p12628867848081496_e66__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0404_segment_1_segmented_smoothed_mask.png,209161,210444
DSC_0406_segment_1_segmented_smoothed,0.8000966828238795,0.666800959186316,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0406_segment_1_segmented_smoothed__fused_INNER_mu0p32383335175896855_b0p02707532344998352_e80__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0406_segment_1_segmented_smoothed_mask.png,309161,381758
