branch,budget_name,dataset_name,target_name,runtime_sec_mean,uncertainty_mean,mae,rmse,r2,n_valid,n_total,mae_mu,rmse_mu,r2_mu,mae_lambda,rmse_lambda,r2_lambda,mae_diffusion_rate,rmse_diffusion_rate,r2_diffusion_rate,mae_alpha,rmse_alpha,r2_alpha,mae_beta,rmse_beta,r2_beta,mae_gamma,rmse_gamma,r2_gamma,mae_energy_threshold,rmse_energy_threshold,r2_energy_threshold
full,tiny,primary,full_target,56.542285858899696,0.03854196724697732,0.07370844391572494,0.10517006138182824,-0.2869855550770076,174,174,0.12310954192215609,0.15823502280365534,-0.0009156392516480594,0.11191326309218638,0.1362750772187436,0.1257195644453598,0.06740764452430739,0.08340698982470231,-0.1737521243657354,0.018016123585013012,0.021843723328863085,-1.7293515454125505,0.06567102731667722,0.08158876056166017,-0.15406886431735223,0.04012886329157378,0.07665848250238406,-0.026150144705746836,0.08971264367816087,0.11768113941797403,-0.05038013193138324
full,tiny,primary,patch_target,56.542285858899696,0.03854196724697732,0.070160762899431,0.09443905129443705,-2.6777202488615925,174,174,0.10396207437780379,0.12798092242966233,-1.531114081707928,0.0897907133817754,0.11516474108155215,-1.1857825179445047,0.05479983869417314,0.06810345643817221,-1.4224241073943626,0.018288092052588942,0.020894032183623255,-8.333598796821637,0.051041953470810635,0.06347776820259378,-3.5153478844322343,0.09394889505502466,0.11738313155366889,-1.449051927892604,0.07929377326384045,0.09953008983408254,-1.306722425837875
patch,direct,external_unique,full_target,0.0,0.05859337340267763,0.09319528721811775,0.1548200931007341,-0.7338083344890646,63,63,0.16350344826665733,0.29375715422300197,-2.5412561585860196,0.12720856751347773,0.1695328761413566,-0.453153089320977,0.06381989147261903,0.07964369768994081,-0.16706457492221327,0.013730467431799233,0.02002095426112955,-1.2298856407569563,0.06879908470023403,0.08545445386976022,-0.3991153823624336,0.09410970625302122,0.11308837508103343,-0.09745274955961092,0.12119584488901572,0.1609806366870945,-0.24873074591523903
patch,direct,external_unique,patch_target,0.0,0.05859337340267763,0.06639035058845506,0.12434264054492422,-1.4884186566701547,63,63,0.11195722354331111,0.2202056942897046,-2.6723647818293736,0.08796265114912022,0.14536431622768878,-1.848930669587494,0.06097099318087599,0.0886419012715629,-0.8013791550121119,0.00935924667192772,0.017076393320661413,-3.5363483191209664,0.03666168796617056,0.04774969018157784,-0.22212294726211024,0.07681236480537114,0.08859328841873775,-0.017298176204011417,0.08100828680240872,0.14257811907397833,-1.3204865476750172
patch,direct,primary,full_target,0.0,0.028721824784245894,0.08617601845121622,0.11168038205792305,-0.18408814968266154,174,174,0.13836166482731943,0.16182080420508618,-0.046793356026919364,0.12763287918849822,0.15032385223466846,-0.06383354269910413,0.066036074347153,0.07900636239935238,-0.053163087296490774,0.011309433843774655,0.013594799087814746,-0.057186796057968614,0.06733771386744399,0.07736528115682254,-0.0376795770014946,0.08699235909388392,0.10307776694955681,-0.8553270564682349,0.10556200399044045,0.12444711447991533,-0.17463363222842077
patch,direct,primary,patch_target,0.0,0.028721824784245894,0.0409732139279763,0.056669708594097354,0.0979589437437072,174,174,0.06275560481845548,0.07587691867658003,0.1103060853035347,0.06192542511780204,0.07580340834950605,0.05301010772548842,0.03301197914103532,0.04101515647531184,0.12138094633309349,0.005399685991395456,0.006776201125077398,0.018303628169450636,0.02261213081846797,0.028419764066979655,0.09491606925338392,0.05005767928079122,0.06779302073635014,0.1831231617916127,0.051049992327886644,0.06200799131693648,0.1046726076293868
patch,full,external_unique,full_target,10.625632270934089,0.05859337340267763,0.08681126979809929,0.1177911716819017,-0.12789589073266225,63,63,0.14478677383729677,0.17215114503045542,-0.21618675548497013,0.12367416989586888,0.1476979336715784,-0.10294117122043578,0.06383188307032778,0.08055588151247126,-0.19395116916301802,0.011993068167874134,0.014125609162224615,-0.11001133941849073,0.06697482173495253,0.08016750675545482,-0.23134819906717485,0.08357244218817796,0.11200637801367509,-0.07655298669193877,0.11284572969219703,0.14146230523228584,0.03572038591739257
patch,full,external_unique,patch_target,10.625632270934089,0.05859337340267763,0.06119702670311181,0.08558754176681188,-0.3224228793275644,63,63,0.09224012744957223,0.11280979505277612,0.0362101597165696,0.09085504856547748,0.11068247227419464,-0.6516725973013586,0.05768220200385385,0.07481888854594504,-0.2833629945844274,0.00843218756076414,0.01048855599980386,-0.7113762392270855,0.04262161914776839,0.05307857884913663,-0.510123115241129,0.06529046028908869,0.08344214259734586,0.09756170577267465,0.07125754190525796,0.103981387888082,-0.23419707442819537
patch,full,primary,full_target,15.619001692739026,0.028721824784245894,0.0822606618393105,0.11146332913921393,-0.15542032021982105,174,174,0.13303146296748206,0.1620700739423752,-0.050020813438361955,0.12982527425441473,0.156391289811205,-0.15144449887814093,0.06489072372032122,0.08107691345135463,-0.1090877536538426,0.011830541622235713,0.014146704671652377,-0.14476598716753641,0.06817306158678568,0.07862743531674668,-0.07181362359448085,0.06335043979932724,0.08968854674287725,-0.40463811541325967,0.10472312892460688,0.123465248770146,-0.1561714493931281
patch,full,primary,patch_target,15.619001692739026,0.028721824784245894,0.0449952120302392,0.06345973742003735,-0.13545702289169118,174,174,0.06729978395757434,0.08470541702001227,-0.10877549162798483,0.07076183448959725,0.08791191798050849,-0.2736889686835555,0.03726824433102694,0.04719007563112211,-0.1630897230951769,0.006080901918470852,0.00768269091775718,-0.26191857514270134,0.02532029979111529,0.03211933158204849,-0.15606143961219288,0.05674856145303747,0.07815380638279537,-0.08564260892883846,0.05148685827085231,0.06213581114936002,0.10097764684861044
patch,large,external_unique,full_target,5.23526314326695,0.05859337340267763,0.08837228629656263,0.11876081597895298,-0.15909551567543032,63,63,0.1424490953977521,0.17148258569863326,-0.20675882915120458,0.12470808889449801,0.14852423937536025,-0.11531664469965697,0.06492920336174177,0.07836524940114266,-0.12989762679018457,0.012312052039166813,0.014567283392237824,-0.18051139130345506,0.06914702627766721,0.08219678469785065,-0.29447534894003113,0.09153104720713481,0.11990738626328021,-0.23379150527505344,0.1135294908979778,0.14062639243648178,0.04708273643157401
patch,large,external_unique,patch_target,5.23526314326695,0.05859337340267763,0.05975981873418206,0.08493210430053878,-0.3214629473232283,63,63,0.09046673161876684,0.11241632214319193,0.04292170168220222,0.08076980474981725,0.10546635570479439,-0.49966460098299326,0.05721516616273362,0.07308526100547436,-0.22457844920572634,0.008841151249372972,0.010889387312065487,-0.8446797713450107,0.042910908545205406,0.05292768609157918,-0.501549308092931,0.06486126071646053,0.08589727219635486,0.043675314739149984,0.07325370809691786,0.10532777059502003,-0.2663655180572906
patch,large,primary,full_target,7.662940767989761,0.028721824784245894,0.08249854821954412,0.11167212648746856,-0.1687630930122923,174,174,0.13002468910360773,0.15927891320791066,-0.014165458211948145,0.13167710507505734,0.15714445497606258,-0.16256169254328245,0.06568575646093319,0.08318862821828464,-0.16761434390219443,0.011515546706206654,0.013922399207562983,-0.10875172316848047,0.0685672573017179,0.07952288515168121,-0.09636537001990853,0.06481594744685759,0.09152067679823699,-0.46261128877054225,0.10520353544242854,0.12416275733176106,-0.16927177446969432
patch,large,primary,patch_target,7.662940767989761,0.028721824784245894,0.04342665168095867,0.061848986710726424,-0.08632116242803399,174,174,0.06440908074379166,0.08431700223844381,-0.09863027533230673,0.06774046095652668,0.08284485965595975,-0.13109481138766266,0.03634749035151819,0.046898500915143644,-0.14876129227923118,0.006227504068548578,0.007624938604444907,-0.24301769892380998,0.02439182609554244,0.03088044754024019,-0.06859980224754514,0.05472976761152632,0.07616110824105998,-0.030986837373086384,0.05014043193925677,0.061585119440580975,0.1168425805474026
patch,medium,external_unique,full_target,2.6134180038694352,0.05859337340267763,0.0872124181522299,0.11738694804178405,-0.12666516426498164,63,63,0.14827116994516534,0.17701860023951033,-0.2859327077228704,0.12183774474797933,0.14486811628750604,-0.06108246045753174,0.061679098168907216,0.07710149135171433,-0.09374886007561489,0.012660318366345588,0.014760781023405544,-0.21208121075453268,0.0674298600686728,0.08221057582938733,-0.29490976441062244,0.08651649442359513,0.10749780532243175,0.008371275156583202,0.11209224134494397,0.14020925609276785,0.05272757840971731
patch,medium,external_unique,patch_target,2.6134180038694352,0.05859337340267763,0.05889885739432053,0.0832558201389293,-0.18906385889539576,63,63,0.0957018160420908,0.11876123715295013,-0.06816452287360608,0.08477959992250193,0.10210856648253287,-0.4056934436491215,0.05381488784802225,0.06919427817576741,-0.09765882664197223,0.008063135892869042,0.009924705933493767,-0.5323197193052691,0.03735552952207181,0.047484547400781604,-0.2085883075730275,0.05839184350797144,0.07530875348355814,0.2649150352441735,0.07418518902471652,0.10572507647945643,-0.27593722746894866
