branch,dataset_name,backbone,model_family,mae,rmse,r2,mae_mu,rmse_mu,r2_mu,mae_lambda,rmse_lambda,r2_lambda,mae_diffusion_rate,rmse_diffusion_rate,r2_diffusion_rate,mae_alpha,rmse_alpha,r2_alpha,mae_beta,rmse_beta,r2_beta,mae_gamma,rmse_gamma,r2_gamma,mae_energy_threshold,rmse_energy_threshold,r2_energy_threshold
full,external_unique,resnet,ensemble,0.221560462096909,0.2675819433253941,-79.97791232115796,0.4174856577603162,0.4716276427727919,-14.163105267714975,0.1284365986759709,0.1619647923764797,-17.02102375229864,0.1902908053762344,0.1920719075730329,-15.362735922906246,0.3127310076246029,0.315794067254995,-506.8362581641159,0.0518563678321526,0.0518946832637616,-1.6660195481553508,0.2336417292621233,0.2574399066068321,0.0,0.2164810681469626,0.2166785017084249,-4.796243592914551
full,primary,dino,ridge,0.0482136891317477,0.0913158531739209,0.2870546135206667,0.0882678219596762,0.1546900977386371,0.0434288579056422,0.0690562386007039,0.1081402336170436,0.4494554176748627,0.0438823973557709,0.0714224902583632,0.1393204722979146,0.0062661774322494,0.0107707935058761,0.3364073875646656,0.0372253040429564,0.0604551034543099,0.3663681630336942,0.0293699581921816,0.0525973969425504,0.5169200889930674,0.0634279263386954,0.1053957827181615,0.1574819071748199
full,primary,dino,mlp,0.1453613265606105,0.2539221620729627,-95.17346867047596,0.1284641960658853,0.2124463925004141,-0.8042261324848143,0.1565756151817429,0.2754203397132672,-2.571164910324764,0.1448551430804157,0.241885449597891,-8.871678094298213,0.1829956713250087,0.3331540952959482,-633.8870303587361,0.128529775170004,0.2217184442359329,-7.522650872187924,0.141467517768934,0.2482381783130231,-9.760380430906809,0.1346413673322832,0.2237497126305146,-2.797149894393152
full,primary,dino,ensemble,0.0827576363237415,0.144718872002199,-23.797029247904707,0.0829856101657618,0.145975423156148,0.1481723501599096,0.0972455919082098,0.1702638410135371,-0.3647802822543022,0.0791481126392916,0.1307948468820555,-1.886375061003954,0.0921018023441035,0.168002680283979,-160.45019122885233,0.0718657199586042,0.1241358860985993,-1.6715650311383854,0.0738042470895939,0.1295238532558937,-1.929476286204621,0.0821523701606256,0.1370690495319147,-0.4249891960392529
full,external_unique,dino,ridge,0.1107880445010053,0.1562269081781396,-12.218897301502166,0.0445318344343095,0.0579100389033864,0.7713888755395333,0.2373357693325782,0.2779671938336407,-52.07931472932656,0.1240363615401182,0.1478256254185852,-8.692318393712114,0.0180579856890732,0.0245669613148199,-2.073396946855469,0.1403962323923872,0.1407389114567781,-18.60857228886642,0.0235430255528599,0.0240760113184149,0.0,0.1876151025657104,0.2176822174204464,-4.850067627294133
full,external_unique,dino,mlp,0.3380725869368562,0.4199435670614051,-125.31717174979111,0.4703504513496775,0.5124645211311383,-16.902647226852526,0.3626229660268365,0.4161713346948576,-117.98235166730016,0.7782411735112813,0.7859063484287548,-272.94906093157704,0.2881712704006239,0.2886700008487333,-423.3449895122138,0.2174924099757886,0.2176794806376905,-45.90861209167618,0.1617007595487029,0.2027625127072897,0.0,0.0879290777450827,0.0957788109825767,-0.1325408189180452
full,external_unique,dino,ensemble,0.197468450692593,0.2380213257023301,-40.470791571339,0.212909308457684,0.2445125345047246,-3.0756032620708336,0.2536604523271929,0.2542005031867569,-43.390601888414615,0.4511387675256998,0.451372955752455,-89.36479989760306,0.1524139714852053,0.1524149577358222,-117.29624288889784,0.1789443211840879,0.1789447600368555,-30.699730468275053,0.083369321457967,0.0969037480702723,0.0,0.0498430124103138,0.0616064689160466,0.5314374058884168
patch,primary,handcrafted,ridge,0.0905486842922266,0.1196204857107081,0.0367422018956412,0.1378158364277298,0.161414957696327,0.0451315135329881,0.1363567280652081,0.1605511237460475,0.0117406463835539,0.0751109446066629,0.0880036053915914,0.0447587047576135,0.012133234356877,0.0142727667688716,0.0129382749902362,0.0600312151098218,0.0701219247574309,0.0136845607078134,0.0991302797483898,0.1291061653980785,0.0983638770710099,0.1132625517308966,0.1371063076550236,0.0305778358262737
patch,primary,handcrafted,mlp,0.1006005601970967,0.1299084495725962,-2.912319524894907,0.138280498630406,0.1692882523398395,-0.0502910153893287,0.1366602006344966,0.1638843009332436,-0.029719506873894,0.0844199191957826,0.1042417154794925,-0.3402791406154861,0.0489139380875156,0.0644737214882136,-19.141576089554157,0.0750262655670663,0.0943210903073849,-0.7845379959716829,0.1018948448976903,0.1323950587235224,0.0518416119442444,0.1190082543667199,0.1454948272620347,-0.0916745378040511
patch,primary,handcrafted,ensemble,0.0914906174033542,0.1189253403217683,-0.6454000796617854,0.1348785455917594,0.1596698213927257,0.0656670039500491,0.133235165228087,0.1573138991773205,0.0511918087755349,0.0757361270690569,0.0903107795045392,-0.0059846187789949,0.0261066379330076,0.0342914510009309,-4.697701564475369,0.0627527188067276,0.0759580302250313,-0.1573256068860873,0.0945730117663564,0.1224970519388765,0.1883129592176252,0.1131521154284842,0.1365776360197104,0.0380394605647436
